,index,Player,G,GS,MP,PTS,AST,TRB,ORB,DRB,STL,BLK,TOV,PF,FGA,FG,3PA,3P,FTA,FT,FG%,3P%,FT%,eFG%,Rk,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
469,469,Ricky Council IV,73.0,12.0,17.1,7.3,1.3,2.9,0.7,2.2,0.4,0.2,0.7,0.9,6.3,2.4,2.9,0.8,2.1,1.7,0.382,0.258,0.804,0.442,223.0,23.0,11.6,0.502,0.46,0.33,4.4,15.4,9.7,11.4,1.3,1.0,8.9,20.3,0.1,0.5,0.6,0.023,-2.0,-2.3,-4.3,-0.7
470,470,Riley Minix,1.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,24.0,-1.7,0.0,1.0,0.0,0.0,30.7,15.3,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,-0.114,-8.5,-3.3,-11.8,0.0
471,471,Rob Dillingham,49.0,1.0,10.5,4.5,2.0,1.0,0.2,0.8,0.4,0.0,1.1,0.8,4.3,1.9,1.5,0.5,0.3,0.2,0.441,0.338,0.533,0.5,368.0,20.0,10.2,0.503,0.351,0.071,2.6,8.0,5.4,28.4,1.9,0.2,19.6,22.7,-0.4,0.6,0.1,0.012,-3.3,-0.9,-4.2,-0.3
472,472,Robert Williams,20.0,3.0,17.6,5.8,1.1,5.9,1.8,4.2,0.7,1.7,0.9,1.6,3.9,2.5,0.2,0.1,0.9,0.8,0.641,0.333,0.882,0.647,416.0,27.0,18.9,0.679,0.038,0.218,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,0.6,0.7,1.3,0.175,-0.1,3.2,3.0,0.4
473,473,Ron Harper Jr.,1.0,0.0,17.0,4.0,2.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,2.0,2.0,0.125,0.0,1.0,0.125,550.0,24.0,7.9,0.225,0.75,0.25,26.3,19.4,22.8,14.3,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-0.06,-5.5,-9.2,-14.7,0.0
474,474,Ron Holland,81.0,2.0,15.6,6.4,1.0,2.7,0.5,2.2,0.6,0.2,0.9,1.7,5.1,2.4,1.9,0.4,1.5,1.1,0.474,0.238,0.754,0.517,219.0,19.0,11.1,0.556,0.363,0.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,0.2,1.5,1.8,0.067,-3.3,0.3,-3.0,-0.3
475,475,Royce O'Neale,75.0,22.0,24.5,9.1,2.2,4.7,0.7,3.9,0.9,0.5,0.9,2.0,7.6,3.2,5.9,2.4,0.3,0.3,0.423,0.406,0.731,0.58,121.0,31.0,12.6,0.585,0.774,0.046,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,1.6,1.2,2.8,0.073,0.2,-0.1,0.1,1.0
476,476,Rudy Gobert,72.0,72.0,33.2,12.0,1.8,10.9,3.7,7.2,0.8,1.4,1.2,2.5,7.1,4.7,0.0,0.0,3.8,2.6,0.669,0.0,0.674,0.669,37.0,32.0,18.3,0.687,0.0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13.0,6.1,4.0,10.1,0.204,0.6,1.3,1.9,2.4
477,477,Rui Hachimura,59.0,57.0,31.7,13.1,1.4,5.0,1.3,3.7,0.8,0.4,0.8,1.8,9.8,5.0,4.2,1.7,1.9,1.5,0.509,0.413,0.77,0.597,113.0,26.0,13.6,0.619,0.429,0.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,0.11,-0.1,-0.6,-0.7,0.6
478,478,Russell Westbrook,75.0,36.0,27.9,13.3,6.1,4.9,1.4,3.6,1.4,0.5,3.2,2.5,11.1,5.0,3.9,1.3,3.1,2.1,0.449,0.323,0.661,0.505,78.0,36.0,14.3,0.532,0.35,0.28,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5
